a	DEJNOV
a-average	J
a-coming	V
a-crowing	V
a-discounted	JV
a-drinking	N
a-ex-dividend	N
a-gm	N
a-gracious	J
a-includes	V
a-la-aristotle	N
a-monthly	J
a-raising	V
a-reflects	V
a-stoopin	V
a-tall	J
a-totals	N
a-wing	N
aa	JN
aaa	JN
aaa-ee	U
aaawww	U
aab	N
aah	U
aahs	N
aalseth	N
aaron	N
aaronson	N
aarp	N
aarvik	N
ab	N
aba	N
ababa	N
aback	R
abacuses	N
abalkin	N
abalone	N
abandon	NV
abandoned	JV
abandoning	V
abandonment	N
abandons	V
abaringe	N
abasement	N
abashed	J
abate	V
abated	V
abatement	N
abates	V
abating	V
abatuno	N
abb	N
abba	N
abbas	N
abbe	N
abbe-direct	N
abbe-scotch	N
abbenhaus	N
abberations	N
abbett	N
abbey	N
abbie	N
abbot	N
abbott	N
abboud	N
abbreviated	J
abbreviation	N
abbreviations	N
abby	N
abc	N
abc-tv	N
abcs	N
abd-al-aziz	N
abdallah	N
abderahmane	N
abdicate	V
abdomen	N
abdomens	N
abdominal	J
abdominis	N
abducted	NV
abduction	N
abdul	N
abdul-raheem	N
abdullah	N
abe	N
abed	R
abel	N
abell	N
abello	N
abelson	N
abend	N
aber	E
abercrombie	N
aberdeen	N
abernathy	N
abernathys	N
aberrant	J
aberrantly	R
aberration	N
aberrations	N
abetted	V
abetting	V
abex	N
abeyance	N
abg-semca	N
abhor	V
abhorred	V
abhorrent	J
abhorrently	R
abide	NV
abides	V
abiding	J
abie	N
abigail	N
abilene	N
abilities	N
ability	N
abingdon	N
abiomed	N
abitibi-price	N
abject	J
abjection	N
abjectly	R
ablard	N
ablated	V
ablation	N
ablaze	JR
able	JN
able-bodied	J
abler	J
ably	R
abm	N
abner	N
abney	N
abnormal	J
abnormalities	N
abnormality	N
abnormally	R
abo	N
aboard	PR
abode	N
aboff	N
abolish	V
abolished	V
abolishing	V
abolition	N
abolitionist	N
abolitionists	N
abominable	J
abomination	N
aboriginal	J
aborigine	N
aborigines	N
aborning	R
abort	V
aborted	JV
abortifacient	N
aborting	V
abortion	N
abortion-funding	J
abortion-related	J
abortion-rights	JN
abortionist	N
abortions	N
abortive	J
abound	V
abounded	V
abounding	V
abounds	V
about	JNPR
about-face	N
about-faced	V
above	JNPR
above-average	J
above-ceiling	N
above-ground	J
above-market	J
above-mentioned	J
above-normal	J
above-noted	J
above-target	J
above-water	J
aboveboard	J
aboveground	J
abra	N
abraham	N
abrahams	N
abrahamson	N
abramowitz	N
abrams	N
abramson	N
abrasion-resistant	N
abrasive	JN
abrasives	N
abreaction	N
abreast	NR
abridged	V
abridges	V
abridging	V
abridgment	N
abroad	NR
abroade	R
abrogate	V
abrogated	V
abrupt	J
abruptly	R
abruptness	N
abs	N
abscam-indicted	J
abscess	N
abscesses	N
abscissa	N
absence	N
absences	N
absense	N
absent	JPV
absent-minded	J
absent-mindedly	R
absented	V
absentee	JN
absentee-ballot	N
absenteeism	N
absentees	N
absentia	E
absently	R
absentmindedly	R
absinthe	N
absolute	JN
absolutely	R
absoluteness	N
absolutes	N
absolution	N
absolutism	N
absolve	V
absolved	V
absolving	V
absorb	V
absorbed	JV
absorbedthe	V
absorbency	N
absorbent	J
absorber	N
absorbers	N
absorbing	JV
absorbs	V
absorption	N
absorptions	N
absorptive	J
abstain	V
abstained	V
abstaining	V
abstention	N
abstentions	N
abstinence	N
abstract	JNV
abstracted	JV
abstractedness	N
abstracting	V
abstraction	N
abstractionism	N
abstractionists	N
abstractions	N
abstractive	J
abstractly	R
abstractors	N
abstracts	N
abstruse	J
abstrusenesses	N
absurd	J
absurdist	JN
absurdities	N
absurdity	N
absurdly	R
abt	N
abu	N
abundance	N
abundant	J
abundantly	R
abusable	J
abuse	NV
abused	JV
abuser	N
abusers	N
abuses	N
abusing	V
abusive	J
abutments	N
abuzz	J
abysmal	J
abyss	N
abyssinians	N
aca	N
acacia	N
academe	N
academeh	N
academia	N
academic	JN
academically	R
academician	N
academicianship	N
academics	N
academies	N
academy	N
acadia	N
acala	N
acapulco	N
acarbose	N
accacia	N
accademia	N
accardo	N
acccounting	N
accede	V
acceded	V
accelerate	V
accelerated	JV
accelerates	V
accelerating	JV
acceleration	N
accelerations	N
accelerator	N
accelerators	N
accelerometer	N
accelerometers	N
accent	NV
accented	JV
accenting	N
accents	NV
accentual	J
accentuate	V
accentuated	V
accentuates	V
accept	V
acceptability	N
acceptable	J
acceptance	N
acceptances	N
accepted	JNV
accepting	JV
accepts	V
accesory	N
access	NV
accessed	V
accesses	N
accessibility	N
accessible	J
accessions	N
accessories	N
accessory	JN
accident	N
accidental	J
accidental-war	N
accidentally	R
accidently	R
accidents	N
acclaim	NV
acclaimed	JV
acclaims	V
acclamation	N
acclimatized	V
acco	N
accolade	N
accolades	N
accommodate	V
accommodated	V
accommodates	V
accommodating	V
accommodation	N
accommodations	N
accommodative	J
accomodate	V
accomodations	N
accompanied	V
accompanies	V
accompaniment	N
accompaniments	N
accompanist	N
accompanists	N
accompany	V
accompanying	JV
accompli	N
accomplice	N
accomplices	N
accomplish	V
accomplished	JV
accomplishes	V
accomplishing	V
accomplishment	N
accomplishments	N
accompnaying	V
accor	N
accord	NRV
accord-fighter	J
accordance	N
accorded	V
according	NV
accordingly	R
accordion	N
accordion-folding	J
accords	NV
accosted	V
accosting	V
account	NV
account-churning	N
accountability	N
accountable	J
accountant	N
accountants	N
accounted	V
accountemps	N
accounting	JNV
accounting-profession	N
accounting-rules	J
accounts	NV
accounts-a	N
accouterments	N
accreditation	N
accredited	V
accrediting	N
accreted	V
accretion	N
accretions	N
accrual	N
accruals	N
accrue	V
accrued	JV
accrues	V
accruing	V
accudyne	N
acculturated	V
acculturation	N
accumaster	N
accumulate	V
accumulated	JV
